Tested.Agent.s.,Combined.Agent.s.,Control.Arm,Treatment.Setting,Tumour.Type,Tumour.Sub.type,Tumour.Sub.group,Tumour.Stage,Score,Ref.,Score.card,V1,V2,V3,Control Arm,DFS Control,DFS Gain,DFS HR,Final curative score,Form(s),Primary Outcome(s),Treatment Setting,Trial Name,Tumour stage,Tumour Sub-Group,Tumour Sub-type,Tumour Type,Combined Agent(s),pCR Gain,PFS HR,Final non-curative Score,OS Control,OS Gain,OS HR,PFS Control,PFS Gain,Preliminary non-curative score,QoL adjustment,QoL Comment,Last update,Toxicity adjustment,Toxicity Comment,Long-term plateau in the survival curve,Evaluated Outcome,V4,Comment,Long-term plateau in the PFS curve,QoL or Toxicity non-inferiority or superiority in PFS/OS,Release date,ORR,Issue date,DoR,RR Gain,Improvement in some symptoms BUT without evidence of improved overall QoL,RFS Control,RFS Gain,RFS HR,OS advantage continues to be observed
Pertuzumab,Standard adjuvant chemotherapy + 1 year of treatment with trastuzumab,Placebo + standard adjuvant chemotherapy + 1 year of treatment with trastuzumab,Adjuvant early HER2+,Breast Cancer,Breast Cancer,HER2+,Early,B,NA,NA,https://www.nejm.org/doi/full/10.1056/nejmoa1703643,NA,NA,Placebo + standard adjuvant chemotherapy + 1 year of treatment with trastuzumab,NA,0.9% improvement in 3-year iDFS (94.1% vs 93.2%) in the ITT population ,iDFS 0.81 (0.66-1.00) in the ITT population,B,Form 1,iDFS,Adjuvant early HER2+ ,APHINITY,            Early    ,HER2+,Breast Cancer,Breast Cancer,Standard adjuvant chemotherapy + 1 year of treatment with trastuzumab,NA,NA,NA,Not yet reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,Increased grade 3 diarrhoea (9.8% vs 3.7%),NA,NA,NA,NA,NA,NA,05.06.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neratinib,-,Placebo,After trastuzumab based adjuvant therapy in early HER2+,Breast Cancer,Breast Cancer,HER2+,Early,A,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(17)30717-9/fulltext,NA,NA,Placebo,NA,2.5% improvement in 5-year iDFS (90.2% vs 87.7%) in the ITT population ,iDFS 0.73 (0.57-0.92) in the ITT population,A,From 1,iDFS,After trastuzumab based adjuvant therapy in early HER2+,ExteNET,            Early    ,HER2+,Breast Cancer,Breast Cancer,NA,NA,NA,NA,Not yet reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,Increased grade ≥3 diarrhoea (40% vs 2%),NA,NA,NA,NA,NA,NA,05.06.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lenvatinib,-,Placebo,Progressive differentiated thyroid cancer that was refractory to radio-iodine-131,Endocrine Tumours,Thyroid Cancer,"MKI targeting VEGFR1, VEGFR2 and VEGFR3",-,3,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1406470,NA,NA,Placebo,NA,NA,NA,NA,Form 2b,mPFS,Progressive differentiated thyroid cancer that was refractory to radio-iodine-131,SELECT,NA,"MKI targeting VEGFR1, VEGFR2 and VEGFR3",Thyroid Cancer,Endocrine Tumours,NA,NA,0.21 (0.16-0.28),3,"OS immature, not significant ",NA,NA,3.6 months,14.7 months,3,NA,NA,NA,NA,"Substantial toxicity was reported but this was not captured by the current ESMO-MCBS toxicity penalty criteria and, consequently, toxicity adjustment could not be applied",NA,NA,NA,NA,NA,NA,NA,NA,06.11.2019,NA,NA,NA,NA,NA,NA,NA
Sorafenib,-,Placebo,"Radioactive iodine-refractory, locally advanced or metastatic differentiated thyroid cancer",Endocrine Tumours,Thyroid Cancer,"MKI targeting VEGFR, PDGFR and Raf family kinases",-,2,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(14)60421-9/fulltext,NA,NA,Placebo,NA,NA,NA,NA,Form 2b,mPFS,"Radioactive iodine-refractory, locally advanced or metastatic differentiated thyroid cancer",DECISION,NA,"MKI targeting VEGFR, PDGFR and Raf family kinases",Thyroid Cancer,Endocrine Tumours,NA,NA,0.59 (0.45-0.76),2,"OS immature, not significant ",NA,NA,5.8 months,5.0 months,3,NA,NA,NA,-1,Increased toxicity,NA,NA,NA,NA,NA,NA,NA,NA,06.11.2019,NA,NA,NA,NA,NA,NA,NA
Vandetanib,-,Placebo,Unresectable locally advanced or metastatic hereditary or sporadic medullary thyroid cancer,Endocrine Tumours,Thyroid Cancer,"MKI targeting RET, VEGFR2 and EGFR",-,2,NA,NA,https://ascopubs.org/doi/full/10.1200/JCO.2011.35.5040?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub%3Dpubmed,NA,NA,Placebo,NA,NA,NA,NA,Form 2b,mPFS,Unresectable locally advanced or metastatic hereditary or sporadic medullary thyroid cancer,ZETA,NA,"MKI targeting RET, VEGFR2 and EGFR",Thyroid Cancer,Endocrine Tumours,NA,NA,0.46 (0.31-0.69),2,"OS immature, not significant ",NA,NA,19.3 months,11.2 months (reported estimate),3,NA,NA,NA,-1,Increased toxicity,NA,NA,NA,NA,NA,NA,NA,NA,06.11.2019,NA,NA,NA,NA,NA,NA,NA
Cabazitaxel,Prednisone or prednisolone,Abiraterone or enzalutamide (alternative to previously used),Metastatic castration-resistant prostate cancer after docetaxel and AST inhibitor,Genitourinary Cancers,Prostate cancer,-,-,3,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1911206,NA,NA,Abiraterone or enzalutamide (alternative to previously used),NA,NA,NA,NA,Form 2a,PFS,Metastatic castration-resistant prostate cancer after docetaxel and AST inhibitor,CARD,NA,NA,Prostate cancer,Genitourinary Cancers,Prednisone or prednisolone,NA,0.54 (0.40-0.73),3,11.0 months,2.6 months,0.64 (0.46-0.89),3.7 months,4.3 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02.12.2019,NA,02.12.2019,NA,NA,NA,NA,NA,NA,NA
Ramucirumab,-,Placebo,Advanced or cannot be removed by surgery with a high blood level of α fetoprotein (AFP) and previously treated with sorafenib,Gastrointestinal Cancers,Hepatobiliary Cancers,Hepatocellular Carcinoma,Advanced,1,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(18)30937-9/fulltext,NA,NA,Placebo,NA,NA,NA,NA,Form 2a,OS,Advanced or cannot be removed by surgery with a high blood level of α fetoprotein (AFP) and previously treated with sorafenib ,REACH-2,            Advanced    ,Hepatocellular Carcinoma,Hepatobiliary Cancers,Gastrointestinal Cancers,NA,NA,NA,1,7.3 months,1.2 months, 0.71 (0.53 -0.95),NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04.12.2019,NA,04.12.2019,NA,NA,NA,NA,NA,NA,NA
Dacomitinib,-,Gefitinib,1st line treatment for patients with EGFR-mutation-positive non-small-cell lung cancer,Thoracic Malignancies,Non-small-cell Lung Cancer,EGFR+,-,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(17)30608-3/fulltext,https://ascopubs.org/doi/full/10.1200/JCO.2018.78.7994?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,Gefitinib,NA,NA,NA,NA,Form 2a,PFS,1st line treatment for patients with EGFR-mutation-positive non-small-cell lung cancer ,ARCHER 1050,NA,EGFR+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.59 (0.47–0.74),3,26.8,7.3 months,0.76 (0.58–0.99),9.2 months,5.5 months,3,NA,No improvement,NA,NA,Increased toxicity,NA,NA,NA,NA,NA,NA,04.12.2019,NA,04.12.2019,NA,NA,NA,NA,NA,NA,NA
Lorlatinib,-,Single arm study,139 patients had received ≥1 generation ALK TKI (EXP3B to EXP5),Thoracic Malignancies,Non-small-cell Lung Cancer,ALK+,-,3,NA,NA,https://ascopubs.org/doi/full/10.1200/JCO.18.02236?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,NA,Single arm study,NA,NA,NA,NA,Form 3,"ORR, DoR, PFS Phase I/II",139 patients had received ≥1 generation ALK TKI (EXP3B to EXP5) ,NA,NA,ALK+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04.12.2019,"40% achieved in ORR (95% CI 32%–49%), mPFS, 6.9 months (95% CI 5.4–8.2)",04.12.2019,7.1 months (95% CI 5.6–24.4) ,NA,NA,NA,NA,NA,NA
Larotrectinib,-,Single arm study,Refractory NTRK fusion–positive cancers,Refractory NTRK fusion–positive cancers,-,-,-,3,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1714448,NA,NA,Single arm study,NA,NA,NA,NA,Form 3,RR,Refractory NTRK fusion–positive cancers,NA,NA,NA,NA,Refractory NTRK fusion–positive cancers,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.12.2019,NA,20.12.2019,9+ months,75% (independent review),NA,NA,NA,NA,NA
Olaparib,-,Placebo,"Maintenance therapy in newly diagnosed women with advanced high-grade cancer of the ovaries, fallopian tubes and peritoneum with BRCA mutations who have been treated with platinum-based chemotherapy and in whom this treatment has reduced or cleared the cancer",Gynaecological Malignancies,"Ovarian, fallopian tubes and peritoneum cancer",BRCA mutation,-,4,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1810858,NA,NA,Placebo,NA,NA,NA,NA,From 2b,PFS,"Maintenance therapy in newly diagnosed women with advanced high-grade cancer of the ovaries, fallopian tubes and peritoneum with BRCA mutations who have been treated with platinum-based chemotherapy and in whom this treatment has reduced or cleared the cancer",SOLO-1,NA,BRCA mutation,"Ovarian, fallopian tubes and peritoneum cancer",Gynaecological Malignancies,NA,NA,0.30 (0.23-0.41)        ,4,NA,NA,NA,13.8 months,30+ months,3,NA,No significant benefit ,NA,NA,NA,NA,NA,NA,NA, >10% gain in PFS at 36 months,NA,10.01.2020,NA,10.01.2020,NA,NA,NA,NA,NA,NA,NA
Olaparib,-,Placebo,"Maintenance therapy in relapsed high-grade cancer of the ovaries, fallopian tubes and peritoneum with BRCA mutations after previous treatment and in whom platinum-based chemotherapy has reduced or cleared the cancer",Gynaecological Malignancies,"Ovarian, fallopian tubes and peritoneum cancer",BRCA mutation,-,4,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(17)30469-2/fulltext,NA,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS,"Maintenance therapy in relapsed high-grade cancer of the ovaries, fallopian tubes and peritoneum with BRCA mutations after previous treatment and in whom platinum-based chemotherapy has reduced or cleared the cancer",SOLO-2,NA,BRCA mutation,"Ovarian, fallopian tubes and peritoneum cancer",Gynaecological Malignancies,NA,NA,0.30 (0.22-0.41)           ,4,NA,NA,NA,5.5 months,13.6 months,3,NA,Not improved,NA,NA,NA,NA,NA,NA,NA, >10% gain in PFS at 12 months,NA,10.01.2020,NA,10.01.2020,NA,NA,NA,NA,NA,NA,NA
Trifluiridine/tipiracil (TAS-102),-,Placebo,Patients who have been treated with two prior lines of chemotherapy,Gastrointestinal Cancers,Gastric and gastro-oesophageal junction cancers,-,Metastatic,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(18)30739-3/fulltext,NA,NA,Placebo,NA,NA,NA,NA,Form 2a,OS,Patients who have been treated with two prior lines of chemotherapy ,TAGS,            Metastatic    ,NA,Gastric and gastro-oesophageal junction cancers ,Gastrointestinal Cancers,NA,NA,NA,3,3.6 months,2.1 months,0.69 (0.56-0.85),NA,NA,3,NA,NA,NA,NA,NA,NA,OS,NA,NA,NA,NA,NA,NA,06.11.2019,NA,NA,NA,NA,NA,NA,NA
Pembrolizumab,Axitinib,Sunitinib,Previously untreated advanced renal cell carcinoma,Genitourinary Cancers,Renal cell cancer,-,Advanced,4,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1816714,NA,NA,Sunitinib,NA,NA,NA,NA,Form 2b,PFS,Previously untreated advanced renal cell carcinoma ,KEYNOTE-426,            Advanced    ,NA,Renal cell cancer,Genitourinary Cancers,Axitinib,NA,0.69 (0.57-0.84),4,NA,NA,0.53 (0.38-0.74) (Interim analysis of survival met predefined threshold of P<0.0001 but OS not mature),11.1 months,4 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,12 months survival gain 12%,NA,17.02.2020,NA,17.02.2020,NA,NA,NA,NA,NA,NA,NA
Avelumab,Axitinib,Sunitinib,Previously untreated advanced renal cell carcinoma,Genitourinary Cancers,Renal cell cancer,-,Advanced,3,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1816047,NA,NA,Sunitinib,NA,NA,NA,NA,Form 2b,PFS (ITT),Previously untreated advanced renal cell carcinoma ,JAVELIN Renal 101,            Advanced    ,NA,Renal cell cancer,Genitourinary Cancers,Axitinib,NA,0.69 (0.56-0.84),3,NA,NA,NA,8.4 months,5.4 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.02.2020,NA,17.02.2020,NA,NA,NA,NA,NA,NA,NA
Nivolumab,Ipilimumab,Sunitinib,1st line for intermediate and poor risk advanced metastatic renal cell carcinoma,Genitourinary Cancers,Renal cell cancer,-,Advanced metastatic,4,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1712126,https://www.ncbi.nlm.nih.gov/pubmed/30658932,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(19)30413-9/fulltext,Sunitinib,NA,NA,NA,NA,Form 2a,OS,1st line for intermediate and poor risk advanced metastatic renal cell carcinoma,CheckMate 214,            Advanced metastatic    ,NA,Renal cell cancer,Genitourinary Cancers,Ipilimumab,NA,NA,4,26.6 months,13 months (Calculated conservative estimate of gain based on PE HR 0.66),0.66 (0.54-0.80),NA,NA,4,NA,QoL benefit reported in exploratory evaluation not eligible for QoL adjustment,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.02.2020,NA,17.02.2020,NA,NA,NA,NA,NA,NA,NA
Lanreotide,-,Placebo,Nonfunctioning entero-pancreatic neuroendocrine tumour grade 1 or 2 (Ki-67 values <10%) SSTR positive,Endocrine Tumours,Neuroendocrine Tumour,Entero-pancreatic,Metastatic,3,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1316158,NA,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS,Nonfunctioning entero-pancreatic neuroendocrine tumour grade 1 or 2 (Ki-67 values <10%) SSTR positive ,CLARINET,            Metastatic    ,Entero-pancreatic,Neuroendocrine Tumour,Endocrine Tumours,NA,NA,0.47 (0.30-0.73),3,"OS immature, not significant ",NA,NA,18.0 months,9.3+ months (Calculated estimate of gain based on point estimate HR 0.47),3,NA,QoL no benefit ,NA,NA,Low toxicity,NA,NA,NA,NA,PFS gain at 24 months: >10% (no plateau) ,NA,12.03.2020,NA,12.03.2020,NA,NA,NA,NA,NA,NA,NA
Everolimus,Best supportive care,Placebo,Progressive pancreatic neuroendocrine tumour grade 1 or 2 mostly non-functional,Endocrine Tumours,Neuroendocrine Tumour,Pancreatic,Advanced,3,NA,NA,https://www.nejm.org/doi/full/10.1056/nejmoa1009290,https://ascopubs.org/doi/full/10.1200/JCO.2016.68.0702?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS ITT,Progressive pancreatic neuroendocrine tumour grade 1 or 2 mostly non-functional,RADIANT 3,            Advanced    ,Pancreatic ,Neuroendocrine Tumour,Endocrine Tumours,Best supportive care,NA,0.35 (0.27-0.45),3,37.7 months,6.3 months (not statistically significant),NS,4.6 months,6.4 months,3,NA,No QoL data,NA,NA,Moderate toxicity,NA,NA,NA,NA,NA,NA,12.03.2020,NA,12.03.2020,NA,NA,NA,NA,NA,NA,NA
Octreotide,-,Placebo,"Therapy-naive midgut neuroendocrine tumour, functional or non-functional",Endocrine Tumours,Neuroendocrine Tumour,Midgut,Metastatic,2,NA,NA,https://ascopubs.org/doi/10.1200/JCO.2009.22.8510,https://www.karger.com/Article/FullText/443612,NA,Placebo,NA,NA,NA,NA,Form 2b (Scoring of TTP on the same basis as PFS),TTP,"Therapy-naive midgut neuroendocrine tumour, functional or non-functional",PROMID,            Metastatic    ,Midgut,Neuroendocrine Tumour,Endocrine Tumours,NA,NA,0.34 (0.20-0.59),2,83.7 months,1.0 month (not significant),NS,6.0 months,8.3 months,3,1-,NA,NA,NA,Low toxicity,NA,TTP,NA,NA,NA,NA,12.03.2020,NA,12.03.2020,NA,NA,QoL no benefit,NA,NA,NA,NA
Sunitinib,-,Placebo,Progressive pancreatic neuroendocrine tumour,Endocrine Tumours,Neuroendocrine Tumour,Pancreatic,Advanced,3,NA,NA,https://www.nejm.org/doi/full/10.1056/nejmoa1003825,https://www.annalsofoncology.org/article/S0923-7534(19)32208-2/fulltext,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS (crossover allowed),Progressive pancreatic neuroendocrine tumour,NA,            Advanced    ,Pancreatic ,Neuroendocrine Tumour,Endocrine Tumours,NA,NA,0.42 (0.26-0.66),3,29.1 months,9.5 months (not statistically significant),NS,5.5 months,5.9 months,3,NA,No QoL data,NA,NA,Moderate toxicity,NA,NA,NA,NA,NA,NA,12.03.2020,NA,12.03.2020,NA,NA,NA,NA,NA,NA,NA
177Lu-DOTATATE,Best supportive care + octreotide,Octreotide,"Progressive midgut neuroendocrine tumour on SSA, functional or non-functional; grade 1 or 2, SSTR positive",Endocrine Tumours,Neuroendocrine Tumour,Midgut,Advanced,4,NA,NA,https://www.nejm.org/doi/full/10.1056/nejmoa1607427,https://ascopubs.org/doi/full/10.1200/JCO.2018.78.5865?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,Octreotide,NA,NA,NA,NA,Form 2b,PFS,"Progressive midgut neuroendocrine tumour on SSA, functional or non-functional; grade 1 or 2, SSTR positive ",NETTER-1,            Advanced    ,Midgut,Neuroendocrine Tumour,Endocrine Tumours,Best supportive care + octreotide,NA,0.21 (0.13-0.33),4,OS not mature,NA,NA,8.4 months,31.6 months (Calculated estimate of gain based on point estimate HR 0.21) ,3,1+,Improvement in QoL; favourable safety profile,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.03.2020,NA,12.03.2020,NA,NA,NA,NA,NA,NA,NA
Brigatinib,-,Single arm study,222 patients enrolled: 112 patients  90mg vs 110 patients 180mg,Thoracic Malignancies,Non-small-cell Lung Cancer,ALK+,Advanced,3,NA,NA,https://ascopubs.org/doi/full/10.1200/JCO.2016.71.5904?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub%3Dpubmed,NA,NA,Single arm study,NA,NA,NA,NA,Form 3,ORR (Phase II) 180 mg,222 patients enrolled: 112 patients  90mg vs 110 patients 180mg,NA,            Advanced    ,ALK+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,NA,3,NA,NA,NA,12.9 months,12 months,3,NA,NA,NA,NA,Tolerable toxicity,NA,NA,NA,NA,NA,NA,16.03.2020,54% achieved in ORR,16.03.2020,11.1 months,NA,NA,NA,NA,NA,NA
Pembrolizumab,Chemotherapy,Carboplatin and either paclitaxel or nab-paclitaxel,First line metastatic squamous non-small cell lung cancer,Thoracic Malignancies,Non-small-cell Lung Cancer,-,Advanced,4,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1810865?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,https://ascopubs.org/doi/pdf/10.1200/JCO.19.01348,NA,Carboplatin and either paclitaxel or nab-paclitaxel,NA,NA,NA,NA,Form 2a,"OS, PFS",First line metastatic squamous non-small cell lung cancer ,KEYNOTE-407,            Advanced    ,NA,Non-small-cell Lung Cancer,Thoracic Malignancies,Chemotherapy,NA,0.56 (0.45-0.70) ,4,11.3 months,4.6 months,0.64 (0.49–0.85),4.8 months,1.6 months,4,NA,Delayed deterioration (exploratory outcome not eligible for upgrade),30.04.2020,NA,Similar toxicity,NA,NA,NA,NA,NA,NA,16.03.2020,NA,16.03.2020,NA,NA,NA,NA,NA,NA,NA
Atezolizumab,Chemotherapy + bevacizumab,"Bevacizumab, paclitaxel and carboplatin",First-line treatment of metastatic non-squamous NSCLC,Thoracic Malignancies,Non-small-cell Lung Cancer,WT Population,Metastatic,3,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1716948?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub%3Dwww.ncbi.nlm.nih.gov,NA,NA,"Bevacizumab, paclitaxel and carboplatin",NA,NA,NA,NA,Form 2a,PFS/OS,First-line treatment of metastatic non-squamous NSCLC  ,IMpower150,            Metastatic    ,WT Population,Non-small-cell Lung Cancer,Thoracic Malignancies,Chemotherapy + bevacizumab,NA,062 (0.52-0.74),3,14.7 months,4.5 months,0.78 (0.64-0.96),6.8 months,1.5 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.03.2020,NA,16.03.2020,NA,NA,NA,NA,NA,NA,NA
Atezolizumab,Chemotherapy + bevacizumab,"Bevacizumab, paclitaxel and carboplatin",First-line treatment of metastatic non-squamous NSCLC,Thoracic Malignancies,Non-small-cell Lung Cancer,EGFR+,Metastatic,3,NA,NA,https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(19)30084-0/fulltext,NA,NA,"Bevacizumab, paclitaxel and carboplatin",NA,NA,NA,NA,Form 2b,PFS,First-line treatment of metastatic non-squamous NSCLC  ,IMpower150,            Metastatic    ,EGFR+,Non-small-cell Lung Cancer,Thoracic Malignancies,Chemotherapy + bevacizumab,NA,0.59 (0.37–0.94) ,3,NA,NA,NA,6.1 months,3.1 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.03.2020,NA,16.03.2020,NA,NA,NA,NA,NA,NA,NA
Atezolizumab,Carboplatin plus nab-paclitaxel,Carboplatin plus nab-paclitaxel,First-line treatment of metastatic non-squamous NSCLC,Thoracic Malignancies,Non-small-cell Lung Cancer,-,Metastatic,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(19)30167-6/fulltext,NA,NA,Carboplatin plus nab-paclitaxel,NA,NA,NA,NA,Form 2a,PFS/OS,First-line treatment of metastatic non-squamous NSCLC  ,IMpower130,            Metastatic    ,NA,Non-small-cell Lung Cancer,Thoracic Malignancies,Carboplatin plus nab-paclitaxel,NA,0.64 (0.54-0.77),3,13.9 months,4.7 months,0.79 (0.64-0.98),5.5 months,1.5 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.03.2020,NA,16.03.2020,NA,NA,NA,NA,NA,NA,NA
Ribociclib,Endocrine therapy,Placebo + endocrine therapy,"1st line premenopausal HR+, HER2-",Breast Cancer,Breast Cancer,HR+ HER2-,Metastatic,5,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(18)30292-4/fulltext,https://www.nejm.org/doi/full/10.1056/NEJMoa1903765?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7385843/,Placebo + endocrine therapy,NA,NA,NA,NA,Form 2a,PFS,"1st line premenopausal HR+, HER2-",MONALEESA-7,            Metastatic    ,HR+ HER2-,Breast Cancer,Breast Cancer,Endocrine therapy,NA,0.55 (0.44-0.69),5,40.9 months ,16 months (Calculated estimate of gain based on PE HR 0.71),0.71 (0.54-0.95),13.0 months,10.8 months,4,1+,Delayed deterioration,21.08.2020,NA,Serious adverse effects 18% vs 12%,NA,OS,NA,NA,NA,NA,20.04.2020,NA,20.04.2020,NA,NA,NA,NA,NA,NA,NA
Abemaciclib,Aromatase inhibitor,Placebo,"1st line postmenopausal HR+, HER2-",Breast Cancer,Breast Cancer,HR+ HER2-,Locally advanced or metastatic,3,NA,NA,http://ascopubs.org/doi/full/10.1200/JCO.2017.75.6155,NA,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS,"1st line postmenopausal HR+, HER2-",MONARCH 3,            Locally advanced or metastatic    ,HR+ HER2-,Breast Cancer,Breast Cancer,Aromatase inhibitor ,NA,0.54 (0.41-0.72),3,NA,NA,NA,14.7 months,12.5 months (Calculated estimate of gain based on PE HR 0.54),3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.04.2020,NA,20.04.2020,NA,NA,NA,NA,NA,NA,NA
Abemaciclib,Fulvestrant,Placebo,"2nd line postmenopausal HR+, ERBB2-",Breast Cancer,Breast Cancer,HR+ ERBB2-,Advanced,4,NA,NA,http://ascopubs.org/doi/full/10.1200/JCO.2017.73.7585?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed ,https://jamanetwork.com/journals/jamaoncology/fullarticle/2752266,NA,Placebo,NA,NA,NA,NA,Form 2a,PFS,"2nd line postmenopausal HR+, ERBB2-",MONARCH 2,            Advanced    ,HR+ ERBB2-,Breast Cancer,Breast Cancer,Fulvestrant,NA,0.55 (0.45-0.68),4,37.3 months,9.4 months,0.76 (0.61-0.95),9.3 months,7.1 months,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.04.2020,NA,20.04.2020,NA,NA,NA,NA,NA,NA,NA
Ribociclib,Fulvestrant,Placebo + fulvestrant,1st or 2nd line metastatic post-menopause ER/PR+,Breast Cancer,Breast Cancer,ER/PR+,Metastatic,4,NA,NA,https://ascopubs.org/doi/full/10.1200/JCO.2018.78.9909?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub%3Dpubmed,https://www.nejm.org/doi/10.1056/NEJMoa1911149,NA,Placebo + fulvestrant,NA,NA,NA,NA,Form 2a,PFS,1st or 2nd line metastatic post-menopause ER/PR+ ,MONALEESA-3,            Metastatic    ,ER/PR+,Breast Cancer,Breast Cancer,Fulvestrant,NA,0.59 (0.48-0.73),4,40.0 months,15.6 months (Calculated estimate of gain based on PE HR 0.72),0.72 (0.57-0.92),12.8 months,7.7 months,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.04.2020,NA,20.04.2020,NA,NA,NA,NA,NA,NA,NA
Fulvestrant,-,Anastrozole,"Post-menopausal women not previously treated with endocrine therapy, or with disease relapse on or after adjuvant antiestrogen therapy, or disease progression on antiestrogen therapy",Breast Cancer,Breast Cancer,ER+,Locally advanced or metastatic,2,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(16)32389-3/fulltext,NA,NA,Anastrozole,NA,NA,NA,NA,Form 2b,PFS,"Post-menopausal women not previously treated with endocrine therapy, or with disease relapse on or after adjuvant antiestrogen therapy, or disease progression on antiestrogen therapy",FALCON,            Locally advanced or metastatic    ,ER+,Breast Cancer,Breast Cancer,NA,NA,0.80 (0.64-1.00),2,NA,NA,NA,13.8 months,2.8 months,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.04.2020,NA,20.04.2020,NA,NA,NA,NA,NA,NA,NA
